Rbm3-ps	ENSMUSG00000099875.1		OTTMUSG00000022091.1
Mad1l1	ENSMUSG00000029554.15		OTTMUSG00000030671.3
Pde6h	ENSMUSG00000064330.9		OTTMUSG00000023391.3
Agps	ENSMUSG00000042410.16		OTTMUSG00000013293.4
Gm20679	ENSMUSG00000093766.1		OTTMUSG00000038510.1
Gm9132	ENSMUSG00000110102.1		OTTMUSG00000060176.1
Gm28541	ENSMUSG00000099646.1		OTTMUSG00000046546.1
Lrpap1	ENSMUSG00000029103.16		OTTMUSG00000023232.3
Gm18416	ENSMUSG00000093685.1		OTTMUSG00000039960.1
Gm26197	ENSMUSG00000092774.1		
Gm2568	ENSMUSG00000084793.1		OTTMUSG00000032636.1
4921511C20Rik	ENSMUSG00000049815.3		OTTMUSG00000018635.1
Gm14228	ENSMUSG00000087147.1		OTTMUSG00000016020.1
Gm28893	ENSMUSG00000100769.1		OTTMUSG00000046689.1
Gbp5	ENSMUSG00000105504.4		OTTMUSG00000053926.1
Rab3ip	ENSMUSG00000064181.6		OTTMUSG00000064250.1
AC154885.1	ENSMUSG00000118543.1		OTTMUSG00000074970.1
Gm36198	ENSMUSG00000110915.1		OTTMUSG00000063350.1
Ndufb1-ps	ENSMUSG00000113902.1		OTTMUSG00000066107.2
Gm29472	ENSMUSG00000101907.1		OTTMUSG00000046744.1
Gm3861	ENSMUSG00000116136.1		OTTMUSG00000070806.1
Tmem39b	ENSMUSG00000053730.15		OTTMUSG00000009517.9
Gm14249	ENSMUSG00000087074.1		OTTMUSG00000016079.1
Serpinb13	ENSMUSG00000048775.10		OTTMUSG00000020999.2
Gm14340	ENSMUSG00000074507.6		OTTMUSG00000016394.1
Trav3d-2	ENSMUSG00000106533.1		OTTMUSG00000053627.1
Gm12008	ENSMUSG00000082156.1		OTTMUSG00000005177.1
Ccr9	ENSMUSG00000029530.16		OTTMUSG00000036110.3
Olfr122	ENSMUSG00000083947.5		OTTMUSG00000037473.4
Gm47364	ENSMUSG00000111581.1		OTTMUSG00000063727.1
Mcm6	ENSMUSG00000026355.11		OTTMUSG00000049360.1
Gm12439	ENSMUSG00000080850.1		OTTMUSG00000006857.1
Bdp1	ENSMUSG00000049658.13		OTTMUSG00000035163.2
Mir200a	ENSMUSG00000065400.1		
Defb46	ENSMUSG00000071169.1		OTTMUSG00000020619.3
Gramd1a	ENSMUSG00000001248.15		OTTMUSG00000045673.7
Parp6	ENSMUSG00000025237.16		OTTMUSG00000063296.1
Hoxb9	ENSMUSG00000020875.9		OTTMUSG00000001991.3
Gm26528	ENSMUSG00000097586.1		OTTMUSG00000042701.1
V1rg10	ENSMUSG00000098947.2		OTTMUSG00000053283.2
Foxn2	ENSMUSG00000034998.18		OTTMUSG00000033848.4
Gm19791	ENSMUSG00000097214.1		OTTMUSG00000042691.1
Snord78	ENSMUSG00000077220.1		
Gm43120	ENSMUSG00000105689.1		OTTMUSG00000054287.1
Gm21276	ENSMUSG00000094233.2		OTTMUSG00000048812.1
Gm47475	ENSMUSG00000111829.1		OTTMUSG00000063158.1
Gm29124	ENSMUSG00000099949.1		OTTMUSG00000047908.1
Igkv4-50	ENSMUSG00000076562.1		OTTMUSG00000053141.2
Gm45151	ENSMUSG00000108736.1		OTTMUSG00000058800.1
Fam217b	ENSMUSG00000070476.10		OTTMUSG00000016354.1
Olfr1186	ENSMUSG00000082882.2		OTTMUSG00000013991.4
Klk14	ENSMUSG00000044737.6		OTTMUSG00000027218.1
Gm27275	ENSMUSG00000098323.1		
Ift88	ENSMUSG00000040040.16		OTTMUSG00000026733.3
CU019598.1	ENSMUSG00000118429.1		OTTMUSG00000074810.1
Gm23370	ENSMUSG00000106307.1		
Scgb1a1	ENSMUSG00000024653.2		OTTMUSG00000035954.2
Gm3095	ENSMUSG00000091756.1		OTTMUSG00000036205.1
Gm22667	ENSMUSG00000089343.1		
Zar1	ENSMUSG00000063935.3		OTTMUSG00000026978.2
Gm6850	ENSMUSG00000109796.1		OTTMUSG00000060522.1
Vmn1r200	ENSMUSG00000101073.2		OTTMUSG00000000495.3
Gm25333	ENSMUSG00000088660.1		
4930540I17Rik	ENSMUSG00000115047.1		OTTMUSG00000070096.1
Gm15403	ENSMUSG00000081412.1		OTTMUSG00000021209.1
Edar	ENSMUSG00000003227.4		OTTMUSG00000025045.4
Gm24407	ENSMUSG00000094377.1		
Gm23324	ENSMUSG00000088046.1		
Gm10401	ENSMUSG00000072693.2		
Gm29607	ENSMUSG00000101340.1		OTTMUSG00000046657.1
Gm49955	ENSMUSG00000117058.1		OTTMUSG00000072184.1
9530059O14Rik	ENSMUSG00000097736.8		OTTMUSG00000062740.1
Hsd17b7	ENSMUSG00000026675.12		OTTMUSG00000020778.2
Enpp3	ENSMUSG00000019989.8		OTTMUSG00000064354.1
Gm47393	ENSMUSG00000113532.1		OTTMUSG00000066246.1
Gm8556	ENSMUSG00000109822.1		OTTMUSG00000060445.1
Gm25395	ENSMUSG00000087968.1		
Kctd9	ENSMUSG00000034327.17		OTTMUSG00000033570.2
Gm14516	ENSMUSG00000083551.1		OTTMUSG00000016951.1
Gm15063	ENSMUSG00000086937.1		OTTMUSG00000018906.1
BC106179	ENSMUSG00000045231.5		OTTMUSG00000025914.2
Gm3690	ENSMUSG00000109661.1		OTTMUSG00000060516.1
0710001A04Rik	ENSMUSG00000114511.1		OTTMUSG00000068573.1
Gm7591	ENSMUSG00000114349.1		OTTMUSG00000068758.1
2700054A10Rik	ENSMUSG00000117042.1		OTTMUSG00000072200.1
Gm12209	ENSMUSG00000081297.1		OTTMUSG00000005629.1
Gm28579	ENSMUSG00000100780.1		OTTMUSG00000047241.1
Gm35217	ENSMUSG00000114577.1		OTTMUSG00000068699.1
Gm18738	ENSMUSG00000117107.1		OTTMUSG00000072626.1
Olfr1073-ps1	ENSMUSG00000111518.1		OTTMUSG00000062810.1
Kcne1l	ENSMUSG00000090122.3		OTTMUSG00000018812.2
Gm48697	ENSMUSG00000111995.1		OTTMUSG00000064745.1
Gm24889	ENSMUSG00000077576.1		
Gm18581	ENSMUSG00000117360.1		OTTMUSG00000072856.1
Gm43186	ENSMUSG00000105598.1		OTTMUSG00000055369.1
Gm3726	ENSMUSG00000107520.1		OTTMUSG00000056835.1
Gm24916	ENSMUSG00000087912.1		
Gm18815	ENSMUSG00000116242.1		OTTMUSG00000070864.1
Gm24735	ENSMUSG00000089484.1		
Trim67	ENSMUSG00000036913.15		OTTMUSG00000022577.2
Gm31121	ENSMUSG00000104785.1		OTTMUSG00000055244.1
Gm11111	ENSMUSG00000079416.1		
Trim15	ENSMUSG00000050747.14		OTTMUSG00000037379.3
Gm25197	ENSMUSG00000095943.1		
Olfr1146-ps1	ENSMUSG00000083185.2		OTTMUSG00000013868.2
Gm43319	ENSMUSG00000105958.1		OTTMUSG00000054410.1
Gm25595	ENSMUSG00000076228.1		
Gm10961	ENSMUSG00000078604.1		
Gm23980	ENSMUSG00000087760.1		
Emcn	ENSMUSG00000054690.17		OTTMUSG00000026580.3
Gm7860	ENSMUSG00000082535.1		OTTMUSG00000028330.1
Olfr67	ENSMUSG00000047535.11		OTTMUSG00000019057.5
Tmem138	ENSMUSG00000024666.6		OTTMUSG00000073756.2
Gm15228	ENSMUSG00000087340.1		OTTMUSG00000019542.1
Ighv12-1	ENSMUSG00000103918.1		OTTMUSG00000051794.1
Gm25816	ENSMUSG00000096148.1		
Gm7156	ENSMUSG00000117512.1		OTTMUSG00000072919.1
Gm24396	ENSMUSG00000080555.2		
Rtn4rl1	ENSMUSG00000045287.6		OTTMUSG00000006197.1
Cycs-ps3	ENSMUSG00000114174.1		OTTMUSG00000067539.1
Gm33594	ENSMUSG00000110205.1		OTTMUSG00000061207.1
Gm43244	ENSMUSG00000105342.1		OTTMUSG00000054683.1
Nav2	ENSMUSG00000052512.17		OTTMUSG00000043214.23
Mir5617	ENSMUSG00000093408.1		
Gm28518	ENSMUSG00000100790.6		OTTMUSG00000049080.1
Gm16143	ENSMUSG00000087030.1		OTTMUSG00000030902.1
Gm48492	ENSMUSG00000113322.1		OTTMUSG00000067098.1
Gm28484	ENSMUSG00000101988.1		OTTMUSG00000046097.1
Zfp541	ENSMUSG00000078796.4		OTTMUSG00000060704.1
Rcc2	ENSMUSG00000040945.13		OTTMUSG00000010024.2
Igkv8-26	ENSMUSG00000076581.1		OTTMUSG00000053253.2
Fzd3	ENSMUSG00000007989.7		OTTMUSG00000020983.3
H2-M10.6	ENSMUSG00000037130.4		OTTMUSG00000037373.1
Gm27596	ENSMUSG00000098990.1		
